1,82,847,23.06
2,1583,2349,23.06
3,3082,3848,23.06
4,4582,5347,23.06
5,6082,6847,23.06
6,7582,8347,23.06
7,9082,9847,23.06
8,10583,11348,23.06
9,12082,12848,23.06
10,13582,14347,23.06
11,15082,15847,23.06
12,16582,17347,23.06
13,18082,18847,23.06
14,19582,20348,23.06
15,21082,21848,23.06
16,22582,23347,23.06
17,24082,24847,23.06
18,25582,26347,23.06
19,27082,27847,23.06
20,28582,29347,23.06
21,30083,30848,23.06
22,31583,32349,23.06
23,33082,33848,23.06
24,34582,35347,23.06
25,36082,36847,23.06
26,37582,38347,23.06
27,39083,39848,23.06
28,40583,41349,23.06
29,42083,42848,23.06
30,43583,44348,23.06
31,45083,45848,23.06
32,46583,47348,23.06
33,48083,48849,23.06
34,49583,50349,23.06
35,51083,51848,23.06
36,52583,53349,23.06
37,54083,54848,23.06
38,55583,56348,23.06
39,57083,57848,23.06
40,58584,59348,23.06
41,60084,60850,23.06
42,61583,62349,23.06
43,63083,63848,23.06
44,64583,65348,23.06
45,66083,66848,23.06
46,67584,68348,23.06
47,69085,69851,23.06
48,70584,71350,23.06
49,72084,72849,23.06
50,73584,74349,23.06
51,75084,75849,23.06
52,76584,77349,23.06
53,78085,78851,23.06
54,79584,80350,23.06
55,81084,81849,23.06
56,82584,83349,23.06
57,84084,84849,23.06
58,85584,86349,23.06
59,87084,87849,23.06
60,88584,89349,23.06
61,90084,90849,23.06
62,91584,92349,23.06
63,93084,93849,23.00
64,94584,95350,23.06
65,96083,96849,23.06
66,97584,98349,23.06
67,99084,99849,23.06
68,100584,101349,23.06
69,102084,102849,23.06
70,103584,104350,23.06
71,105083,105849,23.06
72,106584,107348,23.06
73,108084,108849,23.06
74,109584,110349,23.06
75,111084,111849,23.06
76,112584,113350,23.06
77,114083,114849,23.06
78,115584,116348,23.06
79,117085,117850,23.06
80,118585,119350,23.06
81,120085,120851,23.06
82,121584,122350,23.06
83,123084,123849,23.06
84,124584,125349,23.06
85,126085,126850,23.06
86,127585,128350,23.06
87,129085,129851,23.06
88,130584,131350,23.06
89,132084,132849,23.06
90,133584,134349,23.06
91,135085,135849,23.06
92,136585,137350,23.06
93,138085,138851,23.06
94,139584,140350,23.06
95,141084,141849,23.06
96,142584,143349,23.06
97,144084,144849,23.06
98,145585,146350,23.06
99,147084,147850,23.06
100,148584,149349,23.06
101,150084,150849,23.06
102,151584,152349,23.06
103,153084,153849,23.06
104,154585,155351,23.06
105,156084,156850,23.06
106,157584,158349,23.00
107,159084,159849,23.06
108,160584,161349,23.00
109,162084,162849,23.06
110,163585,164350,23.00
111,165084,165850,23.00
112,166584,167349,23.00
113,168084,168849,23.00
114,169584,170349,23.00
115,171084,171849,23.00
116,172583,173349,23.00
117,174084,174849,23.00
118,175584,176349,23.00
119,177084,177849,23.00
120,178584,179349,23.00
121,180084,180850,23.00
122,181583,182349,23.00
123,183084,183848,23.00
124,184585,185350,23.00
125,186085,186850,23.00
126,187585,188350,23.00
127,189085,189851,23.00
128,190584,191350,23.00
129,192084,192849,23.00
130,193585,194350,23.00
131,195085,195850,23.00
132,196585,197350,23.00
133,198085,198851,23.00
134,199584,200350,23.00
135,201084,201849,23.00
136,202585,203350,23.00
137,204085,204850,23.00
138,205585,206351,23.00
139,207085,207850,23.00
140,208585,209350,23.00
141,210085,210851,23.00
142,211585,212350,23.00
143,213085,213850,23.00
144,214585,215350,23.00
145,216085,216850,23.00
146,217585,218350,23.00
147,219085,219851,23.00
148,220585,221350,23.00
149,222086,222851,23.00
150,223586,224351,23.00
151,225086,225851,23.00
152,226586,227352,23.00
153,228085,228851,22.94
154,229585,230350,23.00
155,231086,231851,23.00
156,232586,233351,23.00
157,234086,234851,23.00
158,235586,236352,23.00
159,237085,237851,23.00
160,238585,239350,23.00
161,240086,240850,23.00
162,241587,242352,23.00
163,243087,243852,23.00
164,244587,245353,23.00
165,246086,246852,23.00
166,247586,248351,23.00
167,249086,249851,23.00
168,250587,251352,23.00
169,252087,252852,23.00
170,253587,254353,23.00
171,255087,255852,23.00
172,256587,257352,23.00
173,258087,258852,23.00
174,259588,260353,23.00
175,261088,261854,23.00
176,262587,263353,23.00
177,264087,264852,22.94
178,265587,266352,23.00
179,267087,267852,23.00
180,268588,269352,23.00
181,270089,270855,23.00
182,271588,272354,23.00
183,273088,273853,23.00
184,274587,275353,23.00
185,276087,276852,23.00
186,277587,278352,23.00
187,279088,279853,23.00
188,280588,281353,23.00
189,282088,282854,23.00
190,283587,284353,23.00
191,285087,285852,23.00
192,286587,287352,23.00
193,288088,288852,23.00
194,289588,290353,23.00
195,291088,291854,23.00
196,292587,293353,23.00
197,294087,294852,23.00
198,295587,296352,23.00
199,297088,297852,23.00
200,298589,299354,23.00
201,300089,300855,23.00
202,301588,302354,23.00
203,303088,303853,23.00
204,304588,305353,22.94
205,306088,306853,23.00
206,307589,308355,23.00
207,309088,309854,23.00
208,310588,311353,23.00
209,312088,312853,23.00
210,313588,314353,23.00
211,315088,315853,23.00
212,316589,317353,23.00
213,318089,318854,22.94
214,319589,320354,23.00
215,321088,321854,22.94
216,322588,323353,23.00
217,324088,324853,23.00
218,325588,326353,23.00
219,327089,327854,23.00
220,328589,329355,22.94
221,330088,330854,22.94
222,331588,332353,23.00
223,333088,333853,22.94
224,334588,335353,23.00
225,336089,336854,22.94
226,337589,338355,22.94
227,339088,339854,22.94
228,340588,341353,22.94
229,342087,342853,22.94
230,343587,344352,22.94
231,345088,345852,22.94
232,346589,347354,22.94
233,348089,348854,22.94
